year_month,orders,sales,profit,sales_3mo_moving_avg,cumulative_sales
2024-01,195,115304.62,9820.33,115304.62,115304.62
2024-02,132,101408.45,8796.46,108356.54,216713.07
2024-03,214,121828.16,12175.82,112847.08,338541.23
2024-04,207,135682.46,10211.01,119639.69,474223.69
2024-05,237,168672.75,13821.98,142061.12,642896.44
2024-06,217,126535.5,9017.01,143630.24,769431.94
2024-07,194,117895.47,11478.92,137701.24,887327.41
2024-08,223,152816.93,11941.09,132415.97,1040144.34
2024-09,238,166591.66,11173.98,145768.02,1206736.0
2024-10,263,179922.74,16481.93,166443.78,1386658.74
2024-11,322,203166.59,18977.3,183227.0,1589825.33
2024-12,361,268235.46,24249.88,217108.26,1858060.79
2025-01,186,131667.98,12824.34,201023.34,1989728.77
2025-02,154,116955.16,10569.36,172286.2,2106683.93
2025-03,191,128895.03,14021.58,125839.39,2235578.96
2025-04,216,141151.73,11406.19,129000.64,2376730.69
2025-05,255,210551.52,18634.64,160199.43,2587282.21
2025-06,258,188376.87,13979.87,180026.71,2775659.08
2025-07,257,156135.68,14149.97,185021.36,2931794.76
2025-08,279,222422.28,21806.89,188978.28,3154217.04
2025-09,264,176886.49,16443.86,185148.15,3331103.53
2025-10,344,222067.24,21782.48,207125.34,3553170.77
2025-11,379,232963.77,17728.74,210639.17,3786134.54
2025-12,414,272871.54,22745.01,242634.18,4059006.08
