rank,product_name,category,units_sold,sales,profit
1,Document Scanner,Technology,662,515541.21,41373.34
2,Laser Printer,Technology,622,464942.71,39930.4
3,Label Maker,Technology,546,371606.81,27007.04
4,Conference Table,Furniture,605,264038.27,2586.61
5,Standing Desk,Furniture,606,262526.27,-1726.27
6,Smartphone X,Technology,605,258923.1,40766.47
7,Desk Phone,Technology,576,252279.27,39236.59
8,Coffee Table,Furniture,513,237111.13,4187.6
9,Wireless Headset,Technology,545,236692.82,37501.22
10,Corner Bookcase,Furniture,884,166284.9,-6172.63
